id,tipo,casa,id_edm,instancia_edm
249,7,2020011,2,2
250,7,2020011,2,3
251,3,2020011,3,0
252,3,2020011,3,1
253,3,2020011,3,2
254,3,2020011,3,3
255,4,2020011,4,0
256,4,2020011,4,1
257,4,2020011,4,2
258,4,2020011,4,3
259,8,2020011,5,0
260,8,2020011,5,1
261,8,2020011,5,2
262,8,2020011,5,3
263,9,2020011,6,0
264,9,2020011,6,1
265,9,2020011,6,2
266,9,2020011,6,3
267,6,2020014,1,1
268,6,2020014,1,2
269,4,2020014,2,1
270,4,2020014,2,2
271,5,2020014,3,1
272,5,2020014,3,2
273,5,2020014,3,3
274,7,2020014,4,1
275,7,2020014,4,2
276,3,2020014,6,1
277,3,2020014,6,2
278,4,2020009,1,0
279,4,2020009,1,1
280,4,2020009,1,2
281,4,2020009,1,3
282,4,2020009,1,4
283,4,2020009,1,5
284,4,2020009,1,6
285,4,2020009,1,7
286,4,2020009,1,8
287,4,2020009,1,9
288,4,2020009,1,10
289,4,2020009,2,0
290,4,2020009,2,1
291,4,2020009,2,2
292,4,2020009,2,3
293,4,2020009,2,4
294,4,2020009,2,5
295,4,2020009,2,6
296,4,2020009,2,7
297,4,2020009,2,8
298,4,2020009,2,9
299,4,2020009,2,10
300,1,2020009,3,0
301,1,2020009,3,1
302,1,2020009,3,2
303,1,2020009,3,3
304,1,2020009,3,4
305,1,2020009,3,5
306,1,2020009,3,6
307,1,2020009,3,7
308,1,2020009,3,8
309,1,2020009,3,9
310,1,2020009,3,10
311,1,2020009,4,0
312,1,2020009,4,1
313,1,2020009,4,2
314,1,2020009,4,3
315,1,2020009,4,4
316,1,2020009,4,5
317,1,2020009,4,6
318,1,2020009,4,7
319,1,2020009,4,8
320,1,2020009,4,9
321,1,2020009,4,10
322,8,2020009,5,0
323,8,2020009,5,1
324,8,2020009,5,2
325,8,2020009,5,3
326,8,2020009,5,4
327,8,2020009,5,5
328,8,2020009,5,6
329,8,2020009,5,7
330,8,2020009,5,8
331,8,2020009,5,9
332,8,2020009,5,10
333,7,2020009,6,0
334,7,2020009,6,1
335,7,2020009,6,2
336,7,2020009,6,3
337,7,2020009,6,4
338,7,2020009,6,5
339,7,2020009,6,6
340,7,2020009,6,7
341,7,2020009,6,8
342,7,2020009,6,9
343,7,2020009,6,10
344,2,2020009,9,0
345,2,2020009,9,1
346,2,2020009,9,2
347,2,2020009,9,3
348,2,2020009,9,4
349,2,2020009,9,5
350,2,2020009,9,6
351,2,2020009,9,7
352,2,2020009,9,8
353,2,2020009,9,9
354,2,2020009,9,10
355,6,2020009,10,0
356,6,2020009,10,1
357,6,2020009,10,2
358,6,2020009,10,3
359,6,2020009,10,4
360,6,2020009,10,5
361,6,2020009,10,6
362,6,2020009,10,7
363,6,2020009,10,8
364,6,2020009,10,9
365,6,2020009,10,10
366,5,2020009,11,0
367,5,2020009,11,1
368,5,2020009,11,2
369,5,2020009,11,3
370,5,2020009,11,4
371,5,2020009,11,5
372,5,2020009,11,6
373,5,2020009,11,7
374,5,2020009,11,8
375,5,2020009,11,9
376,5,2020009,11,10
377,11,2020009,12,0
378,11,2020009,12,1
379,11,2020009,12,2
380,11,2020009,12,3
381,11,2020009,12,4
382,11,2020009,12,5
383,11,2020009,12,6
384,11,2020009,12,7
385,11,2020009,12,8
386,11,2020009,12,9
387,11,2020009,12,10
