id,tipo,casa,id_edm,instancia_edm
122,1,2021029,0,0
123,1,2021029,0,1
124,1,2021029,0,2
125,4,2021029,1,0
126,4,2021029,1,1
127,4,2021029,1,2
128,7,2021029,2,0
129,7,2021029,2,1
130,7,2021029,2,2
131,9,2021029,3,0
132,9,2021029,3,1
133,9,2021029,3,2
134,11,2021029,4,0
135,11,2021029,4,1
136,11,2021029,4,2
137,6,2021021,0,0
138,6,2021021,0,1
139,6,2021021,0,2
140,1,2021021,1,0
141,1,2021021,1,1
142,1,2021021,1,2
143,4,2021021,2,0
144,4,2021021,2,1
145,4,2021021,2,2
146,11,2021021,3,0
147,11,2021021,3,1
148,11,2021021,3,2
149,11,2021021,4,0
150,11,2021021,4,1
151,11,2021021,4,2
152,11,2021021,5,0
153,11,2021021,5,1
154,11,2021021,5,2
155,3,2021021,6,0
156,3,2021021,6,1
157,3,2021021,6,2
158,7,2021021,7,0
159,7,2021021,7,1
160,7,2021021,7,2
161,7,2021020,6,0
162,7,2021020,6,1
163,7,2021020,6,2
164,11,2021020,7,0
165,11,2021020,7,1
166,11,2021020,7,2
167,2,2021020,8,0
168,2,2021020,8,1
169,2,2021020,8,2
170,1,2021013,0,0
171,1,2021013,0,1
172,1,2021013,0,2
173,1,2021013,0,3
174,2,2021013,1,0
175,2,2021013,1,1
176,2,2021013,1,2
177,2,2021013,1,3
178,2,2021013,2,0
179,2,2021013,2,1
180,2,2021013,2,2
181,6,2021013,3,0
182,6,2021013,3,1
183,6,2021013,3,2
184,6,2021013,3,3
185,6,2021013,3,10
186,4,2021013,4,0
187,4,2021013,4,1
188,4,2021013,4,2
189,4,2021013,4,3
190,9,2021013,5,1
191,9,2021013,5,2
192,9,2021013,5,3
193,9,2021013,5,4
194,9,2021013,5,5
195,10,2021013,8,0
196,10,2021013,8,1
197,10,2021013,8,2
198,10,2021013,8,3
199,10,2021013,8,4
200,7,2021006,0,0
201,7,2021006,0,1
202,7,2021006,0,2
203,11,2021006,1,0
204,11,2021006,1,1
205,11,2021006,1,2
206,9,2021006,2,0
207,9,2021006,2,1
208,9,2021006,2,2
209,3,2021006,3,0
210,3,2021006,3,1
211,3,2021006,3,2
212,11,2021014,1,1
213,11,2021014,1,2
214,11,2021014,1,3
215,4,2021014,2,1
216,4,2021014,2,2
217,4,2021014,2,3
218,8,2021014,3,1
219,8,2021014,3,2
220,8,2021014,3,3
221,3,2021014,4,1
222,11,2021014,5,1
223,11,2021014,5,2
224,11,2021014,5,3
225,11,2021014,5,4
226,5,2021031,0,0
227,5,2021031,0,1
228,6,2021031,1,0
229,6,2021031,1,1
230,6,2021031,1,2
231,7,2021031,2,0
232,7,2021031,2,1
233,7,2021031,2,2
234,1,2021031,3,0
235,1,2021031,3,1
236,1,2021031,3,2
237,0,2021031,4,0
238,0,2021031,4,1
239,0,2021031,4,2
240,0,2021031,4,3
241,3,2021031,5,0
242,3,2021031,5,1
243,3,2021031,5,2
244,11,2021031,6,0
245,11,2021031,6,1
246,11,2021031,6,2
247,7,2021031,8,0
248,7,2021031,8,1
249,7,2021031,8,2
250,11,2021031,9,0
251,11,2021031,9,2
252,11,2021031,9,3
253,1,2021022,15,0
254,1,2021022,15,1
255,1,2021022,15,2
256,8,2021022,16,0
257,8,2021022,16,1
258,8,2021022,16,2
259,11,2021022,17,0
260,11,2021022,17,1
261,11,2021022,17,2
262,7,2021022,18,0
263,7,2021022,18,1
264,7,2021022,18,2
265,2,2021015,1,1
266,2,2021015,1,2
267,2,2021015,1,3
268,2,2021015,1,5
269,9,2021015,2,1
270,4,2021015,3,1
271,4,2021015,3,2
272,4,2021015,3,3
273,4,2021015,3,4
274,4,2021015,3,5
275,4,2021015,3,6
276,4,2021015,3,8
277,7,2021015,4,1
278,7,2021015,5,1
279,1,2021015,6,1
280,1,2021015,6,3
281,6,2021015,7,1
282,6,2021015,7,3
283,5,2021015,10,1
284,5,2021015,10,2
285,8,2021015,11,1
286,7,2021015,12,1
287,5,2021018,0,0
288,5,2021018,0,1
289,5,2021018,0,2
290,5,2021018,0,3
291,5,2021018,0,4
292,2,2021018,1,0
293,2,2021018,1,1
294,2,2021018,1,2
295,2,2021018,1,3
296,2,2021018,1,4
297,4,2021018,4,0
298,4,2021018,4,1
299,4,2021018,4,2
300,4,2021018,4,3
301,4,2021018,4,4
302,7,2021018,5,0
303,7,2021018,5,1
304,7,2021018,5,2
305,7,2021018,5,3
306,7,2021018,5,4
307,5,2021024,3,1
308,5,2021024,3,2
309,5,2021024,3,3
310,11,2021032,1,1
311,11,2021032,1,2
312,11,2021032,1,3
313,2,2021032,2,1
314,2,2021032,2,2
315,2,2021032,2,3
316,8,2021032,3,1
317,8,2021032,3,2
318,8,2021032,3,3
319,11,2021032,4,1
320,11,2021032,4,2
321,11,2021032,4,3
322,7,2021026,1,0
323,7,2021026,1,1
324,7,2021026,1,2
325,11,2021026,3,0
326,11,2021026,3,1
327,11,2021026,3,2
328,4,2021026,4,0
329,4,2021026,4,1
330,4,2021026,4,2
331,2,2021026,6,2
332,2,2021026,6,1
333,2,2021026,6,0
334,6,2021026,7,0
335,6,2021026,7,1
336,6,2021026,7,2
337,5,2021026,2,0
338,5,2021026,2,1
339,5,2021026,2,2
340,11,2021012,1,1
341,11,2021012,1,2
342,11,2021012,1,3
343,5,2021012,2,1
344,5,2021012,2,2
345,5,2021012,2,3
346,11,2021012,3,1
347,11,2021012,3,2
348,11,2021012,3,3
349,11,2021012,4,1
350,11,2021012,4,2
351,11,2021012,4,3
352,4,2021012,5,1
353,4,2021012,5,2
354,4,2021012,5,3
355,7,2021012,6,1
356,7,2021012,6,2
357,7,2021012,6,3
